车门 0
很 0
溥 0
， 0
关门 3
声音 3
不如 5
帝豪 2
718 2
好听 4
。 0

车 1
的 0
隔音 3
比我 0
以前 0
开 0
的 0
老广 2
本 2
2.3 2
的 0
还要 4
好 4
一点 4
。 0

2003-09-22 0
22:10:55 0
新浪 0
网友 0
发表 0
评论 0
IP 0
: 0
219.153.137 0
, 0
大众途安 0
MPV 1
预计 0
11月 0
下线 0
比 0
马 5
自大 2
MPV 2
大 2
一些 4
样子 3
更 3
漂亮 4
基本型 0
价格 0
17万 0
左右 0
配置 0
很好 0
！ 0
！ 0
！ 0

领域 0
的 0
刹车 3
偏 4
软 4
， 0
迈腾 1
的 0
刹车 0
算 0
不错 0
了 0
， 0
但 0
和 5
318i 2
比 5
仍 0
偏 0
软 0
。 0

客观 0
的 0
说 0
， 0
过去 0
夏利 1
绝对 0
比 5
吉利 2
稳定 4
、 0
可靠 4
、 0
耐用 4
， 0
将来 0
孰 0
好 0
孰 0
坏 0
， 0
很难说 0
了 0
。 0

音响 3
比德 2
系 2
车 2
好 4
。 0

总体 0
感觉 0
: 0
外型 0
: 0
大气 0
, 0
流线型 0
, 0
动感 0
十足 0
； 0
空间 0
挺 0
大 0
的 0
， 0
我 0
这 0
180 0
的 0
大个子 0
还是 0
满自在 0
的 0
， 0
特别是 0
后排 3
空间 3
比老宝 2
来 2
大多 4
了 0
。 0

听 0
销售员 0
介绍 0
了 0
爱腾 2
和 0
柯兰多 1
， 0
觉得 0
同样 0
2.0 0
的 0
发动机 0
， 0
柯兰多 0
在 0
动力 3
上 0
明显 0
优越 4
很多 4
， 0
而且 0
还是 0
电子 0
风扇 0
， 0
声音 0
小 0
， 0
爱腾 0
的 0
声音 0
家里人 0
还是 0
不 0
能 0
接受 0
。 0

前几天 0
试 0
驾 0
了 0
瑞风 1
的 1
柴油车 1
感觉 0
： 0
1 0
噪音 3
比 5
汽油 2
发动机 2
的 2
车要 2
大 4
。 0

（ 0
由此 0
我 0
对 0
中华 0
也 0
开始 0
表示 0
怀疑 0
， 0
一样 0
的 0
三菱 0
发动机 0
） 0
4 0
、 0
性价比 0
： 0
相同 0
配置 0
的 0
情况 0
下 0
， 0
瑞风 1
要 0
比 0
风行 2
贵 4
一 4
到 4
二万 4
， 0
且 0
风行 0
还多 0
天窗 0
。 0

逍客 1
同 5
轩逸 2
一样 4
， 0
其 0
发动机 3
都 0
采用 0
了 0
曲轴 0
偏 0
置 0
技术 0
。 0

（ 0
外观 3
和 5
国产 2
的 0
一样 4
） 0
跑了 0
9万多 0
点 0
。 0

福美 1
来 1
通过 0
频繁 0
的 0
调价 0
， 0
而 0
不 0
加强 0
售后 0
服务 0
、 0
降低 0
配件 0
价格 0
， 0
最终 0
将 0
落得 0
连 0
老 2
款 2
竭 2
达 2
都 5
不如 5
， 0
品牌 0
的 0
信誉 0
将 0
一扫而光 0
。 0

他 0
买 0
的 0
是 0
11，78万 0
元 0
的 0
捷达 1
， 0
从 0
各方面 3
不如 5
伊 2
兰特 2
！ 0

只是 0
120 0
迈 0
的 0
基础 0
上 0
刹车 3
似乎 0
没有 0
那么 0
凌厉 0
， 0
xjw 1
比 5
mt 2
好像 0
要 4
好 4
一点点 4
， 0
没有 0
怎么 0
多 0
开 0
， 0
这 0
一 0
次 0
机会 0
可能 0
体会 0
也 0
不 0
是 0
很 0
深刻 0
。 0

旁边 0
的 0
别克凯越 1
和 0
荣威 1
750 1
, 0
都 0
比 5
我 0
的 0
小 2
明 2
坚硬 4
。 0

98 0
的 1
型号 1
肯定 0
是 0
性价比 3
最 4
高 4
的 0
， 0
但 0
那 0
桃木 0
确实 0
太难 0
看了 0
， 0
阳春 0
则 0
阳春 0
， 0
巴人 0
则 0
巴人 0
， 0
阳春 0
做成 0
巴人样 0
， 0
那 0
和 0
小芹 0
她 0
妈的 0
脸 0
有 0
什么 0
区别 0
？ 0

3 0
、 0
价格 3
相当于 4
三 2
箱 2
夏利 2
， 0
稍贵 0
。 0

警惕 0
日寇 0
与 0
汉奸 0
勾结 0
对 0
中国 0
的 0
经济 0
侵略 0
大家 0
已经 0
看到 0
有关 0
世界 0
汽车 0
方面 0
的 0
报道 0
， 0
丰田 1
、 0
本田 1
等 0
公司 0
汽车 3
销量 3
略 4
低于 4
通用 2
、 0
大众 2
等 0
公司 0
， 0
但 0
其 0
利润 3
却 0
高于 0
通用 0
、 0
大众 0
等 0
公司 0
近 0
十 0
倍 0
， 0
达 0
100 0
多 0
亿 0
。 0

兄弟 0
, 0
13.6 0
的 0
不 0
是 0
新 1
中华 1
, 0
新 0
中华 0
比 5
03 2
的 0
好 4
很多 4
, 0
很多 0
, 0
你 0
买 0
了 0
用 0
了 0
么 0
? 0

使者 1
的 0
前 3
脸 3
造型 3
舒服 0
， 0
比起 5
星星 2
来 0
没 4
那麽 4
生硬 4
。 0

安全 0
、 0
操控 3
性 3
不见得 0
比 5
富康 2
、 0
嘉年华 2
好 4
！ 0

据说 0
, 0
帕萨特 1
1.8T110kw 1
是 0
德国 0
标准 0
( 0
等于 0
美国 0
标准 0
的 0
125 0
kw 0
) 0
> 0
雅阁 2
的 2
12.4 2
的 0
160 4
马力 4
! 0

不如 5
大众车 2
漆面 3
硬 4
。 0

外型 0
好 0
， 0
尤其是 0
大灯 3
， 0
完全 0
能 0
和 5
宝马 2
的 0
大灯 0
相比 5
。 0

配置 0
不实 0
用 0
《 0
青年 0
时 0
讯 0
》 0
： 0
豪华型 0
ＧＬＸ 0
－ 0
ｉ 0
电子 0
导航 0
版 0
则 0
增加 0
了 0
一 0
套 0
ＤＶＤ 0
语音 0
电子 0
导航 0
系统 0
， 0
这 1
套 1
系统 1
的 0
核心 3
与 5
曾经 0
装配 0
在 0
威驰 2
上 0
那 0
一 0
款 0
是 0
一样 4
的 0
， 0
不过 0
可 0
使用 0
范围 0
包括 0
了 0
成都 0
、 0
北京 0
、 0
上海 0
、 0
重庆 0
在内 0
的 0
国内 0
３９ 0
个 0
城市 0
， 0
大有 0
长进 0
。 0

因为 0
, 0
君威 1
的 0
舒适性 3
远远 5
超过 5
M6 2
. 0

内饰 0
强过 0
老夏 0
数 0
倍 0
有余 0
。 0

是 0
因为 0
它 1
配置 3
不如 5
东方 2
之子 2
， 0
但 0
价钱 3
比 5
东方 0
之子高 0
！ 0

现在 0
新 1
出 1
的 1
车子 1
的 0
质量 3
比 5
不 5
上 5
旧 2
款 2
的 0
了 0
。 0

本田 0
两厢 0
飞度 0
1.3 0
手动 0
档 0
国外 0
售价 0
4000 0
美元 0
约 0
合 0
人民币 0
33960 0
元 0
国内 0
售价 0
8.88万 0
元 0
马自达 1
6 1
北美 0
售价 0
1.87万 0
美元 0
约 0
合 0
人民币 0
15.45万 0
元 0
国内 0
售价 0
19.98万 0
元 0
， 0
m6 0
利润 0
空间 0
比 0
本田 0
小 0
多 0
了 0
， 0
价格 3
实际 0
点 0
， 0
马自达 0
6 0
引进 0
时 0
是 0
一 0
款 0
世界 0
同步 0
车型 0
， 0
配置 0
相对 0
较好 0
， 0
定价 0
借鉴 0
于 5
国内 0
中高档 0
轿车 0
的 0
价格 0
水平 0
， 0
所以 0
价格 0
也 0
高于 0
国际 2
平均 2
水平 2
。 0

至于 0
国产 1
的 1
A6 1
， 0
由于 0
减少 0
了 0
不少 0
配置 3
（ 0
主要 0
是 0
发动机 0
） 0
， 0
已经 0
和 5
原装 2
的 0
有 4
很大 4
差距 4
， 0
所以 0
上面 0
的 0
网友 0
如此 0
评价 0
也 0
不为过 0
--C 0
级 0
车 0
却 0
是 0
B 0
级 0
车 0
的 0
发动机 0
和 0
配置 0
！ 0

海马 1
的 0
发动机 3
比 5
另 2
两 2
辆 2
车 2
的 0
发动机 0
好 4
， 0
所以 0
就 0
值钱 0
在 0
这里 0
。 0

桑 0
3000 0
的 0
关门 3
声 3
“ 0
咣咣 0
” 0
直 0
响 0
， 0
中华 1
的 0
关门 0
同 5
高档 2
车 2
一样 4
， 0
有种 0
厚重 0
的 0
感觉 0
。 0

内饰 3
比 5
不 5
上 5
3000 0
型 0
的 0
桑塔纳 2
。 0

新 1
宝 1
来 1
的 0
品牌 3
效应 3
要 0
高于 4
B 2
50 2
； 0

相比 5
国产 2
的 0
， 0
噪音 3
稍微 4
就 4
大 4
了 4
点 4
。 0

和 0
速 2
跑 2
比 5
在 0
0-60 0
公里 0
加速 3
要 4
快 4
但 0
80-120 0
时 0
加速 3
性能 3
不如 5
速 0
跑 0
。 0

5 0
、 0
配置 3
比 5
夏利 2
好 4
， 0
有 0
MABS 0
、 0
数码 0
仪表 0
。 0

4 0
， 0
雷堡 1
的 0
做工 3
明显 0
高于 4
XX 2
， 0
朋友 0
的 0
318 0
小 0
毛病 0
很多 0
。 0

华利 1
与 5
夏利 2
比较 5
： 0
1 0
、 0
车内 3
